205,307,1024,257,0,255,0
1024,257,1024,257,0,255,0
700,127,700,127,0,255,0
700,127,700,127,0,255,0
870,169,65,159,0,255,0
65,159,65,159,0,255,0
41,25,41,25,0,0,0
206,216,998,150,0,0,255
1017,109,463,124,255,0,0
0,0,526,173,255,0,0
526,173,1004,92,255,0,0
1004,92,1126,96,255,0,0
1126,96,1128,94,255,0,0
1128,94,1037,78,255,0,0
1037,78,923,78,255,0,0
923,78,730,105,255,0,0
730,105,567,109,255,0,0
567,109,343,168,255,0,0
343,168,885,85,255,0,0
885,85,1142,59,255,0,0
0,0,523,159,0,0,0
523,159,712,187,0,0,0
712,187,841,207,0,0,0
841,207,814,200,0,0,0
814,200,349,119,0,0,0
161,211,437,175,0,0,0
437,175,437,175,0,0,0
171,297,685,161,0,0,0
685,161,685,161,0,0,0
1156,80,826,80,0,0,0
826,80,826,80,0,0,0
1068,34,82,275,0,0,0
82,275,82,275,0,0,0
1165,24,383,417,0,0,0
383,417,383,417,0,0,0
157,450,736,342,0,0,0
736,342,736,342,0,0,0
110,231,454,129,0,255,0
454,129,454,129,0,255,0
290,184,290,184,0,255,0
290,184,290,184,0,255,0
210,161,321,356,0,255,0
321,356,321,356,0,255,0
1221,514,1036,480,0,255,0
1036,480,1036,480,0,255,0
48,363,247,300,255,0,0
141,415,228,309,255,0,0
1033,284,1128,201,255,0,0
1211,278,1211,278,255,0,0
1220,122,600,162,255,0,0
799,70,72,222,255,0,0
